48852.00,8142.00,24426.00
59073.00,9845.50,29536.50
49239.00,8206.50,24619.50
50856.00,8476.00,25428.00
81870.00,13645.00,40935.00
70077.00,11679.50,35038.50
174579.00,29096.50,87289.50
11163.00,1860.50,5581.50
258636.00,43106.00,129318.00
262911.00,43818.50,131455.50
403467.00,67244.50,201733.50
55449.00,9241.50,27724.50
204042.00,34007.00,102021.00
189432.00,31572.00,94716.00
179013.00,29835.50,89506.50
105591.00,17598.50,52795.50
119814.00,19969.00,59907.00
146973.00,24495.50,73486.50
137985.00,22997.50,68992.50
191676.00,31946.00,95838.00
397446.00,66241.00,198723.00
239631.00,39938.50,119815.50
246636.00,41106.00,123318.00
478674.00,79779.00,239337.00
482328.00,80388.00,241164.00
